族語,方言別,縣,鄉鎮市,村里
魯凱語,霧臺魯凱語,屏東縣,三地門鄉,"['青葉村', '青山村', '安坡村', '馬兒村', '口社村', '賽嘉村', '三地村', '達來村', '德文村', '大社村']"
魯凱語,霧臺魯凱語,屏東縣,瑪家鄉,"['三和村', '北葉村', '瑪家村', '涼山村', '佳義村', '排灣村']"
魯凱語,大武魯凱語,屏東縣,霧臺鄉,"['霧臺村', '好茶村', '佳暮村', '大武村', '阿禮村', '吉露村']"
魯凱語,多納魯凱語,高雄市,茂林區,"['茂林里', '萬山里', '多納里']"
魯凱語,茂林魯凱語,高雄市,茂林區,"['茂林里', '萬山里', '多納里']"
魯凱語,萬山魯凱語,高雄市,茂林區,"['茂林里', '萬山里', '多納里']"
鄒語,鄒語,南投縣,信義鄉,['望美村']
鄒語,鄒語,嘉義縣,阿里山鄉,"['達邦村', '里佳村', '山美村', '新美村', '茶山村', '樂野村', '來吉村']"
卡那卡那 富語,卡那卡那富語,高雄市,那瑪夏區,"['瑪雅里', '達卡努瓦里', '南沙魯里']"
拉阿魯哇語,拉阿魯哇語,高雄市,桃源區,"['高中里', '桃源里', '寶山里', '建山里', '勤和里', '復興里', '梅山里', '梅蘭里']"
拉阿魯哇語,拉阿魯哇語,高雄市,那瑪夏區,"['瑪雅里', '南沙魯里', '達卡努瓦里']"
賽夏語,賽夏語,新竹縣,五峰鄉,"['大隘村', '花園村', '竹林村', '桃山村']"
賽夏語,賽夏語,新竹縣,北埔鄉,[]
賽夏語,賽夏語,苗栗縣,南庄鄉,"['東河村', '蓬萊村', '南江村', '西村', '田美村']"
賽夏語,賽夏語,苗栗縣,獅潭鄉,['百壽村']
雅美語,雅美語,臺東縣,蘭嶼鄉,"['朗島村', '東清村', '椰油村', '紅頭村']"
邵語,邵語,南投縣,魚池鄉,['日月村']
邵語,邵語,南投縣,水里鄉,[]
噶瑪蘭語,噶瑪蘭語,花蓮縣,豐濱鄉,"['新社村', '磯崎村', '豐濱村']"
噶瑪蘭語,噶瑪蘭語,花蓮縣,新城鄉,"['嘉新村', '北埔村']"
噶瑪蘭語,噶瑪蘭語,臺東縣,長濱鄉,"['樟原村', '三間村', '長濱村', '竹湖村', '寧埔村', '忠勇村']"
太魯閣語,太魯閣語,花蓮縣,秀林鄉,"['和平村', '崇德村', '富世村', '秀林村', '景美村', '佳民村', '水源村', '銅門村', '文蘭村']"
太魯閣語,太魯閣語,花蓮縣,萬榮鄉,"['西林村', '萬榮村', '明利村', '見晴村', '紅葉村']"
太魯閣語,太魯閣語,花蓮縣,吉安鄉,"['慶豐村', '南華村', '福興村', '干城村', '東昌村', '仁里村', '宜昌村', '太昌村', '南昌村', '永興村', '仁和村', '仁安村', '永安村', '光華村', '勝安村']"
太魯閣語,太魯閣語,花蓮縣,卓溪鄉,"['立山村', '崙山村']"
太魯閣語,太魯閣語,花蓮縣,新城鄉,"['嘉里村', '康樂村']"
太魯閣語,太魯閣語,南投縣,仁愛鄉,"['合作村', '精英村', '萬豐村', '法治村', '中正村', '發祥村', '互助村', '力行村', '南豐村', '大同村', '新生村', '親愛村']"
撒奇萊雅語,撒奇萊雅語,花蓮縣,花蓮市,"['國福里', '國慶里', '民享里', '民孝里']"
撒奇萊雅語,撒奇萊雅語,花蓮縣,吉安鄉,"['東昌村', '仁里村', '宜昌村', '太昌村', '南華村', '南昌村', '干城村', '永興村', '慶豐村', '仁和村', '仁安村', '永安村', '光華村', '福興村', '勝安村', '北昌村']"
